PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31807945","Mechanisms of Tactile Sensory Phenotypes in Autism: Current Understanding and Future Directions for Research","Schaffler MD, Middleton LJ, Abdus-Saboor I.","Curr Psychiatry Rep. 2019 Dec 5;21(12):134. doi: 10.1007/s11920-019-1122-0.","Schaffler MD","Curr Psychiatry Rep","2019","2019/12/07","PMC6900204","","10.1007/s11920-019-1122-0"
"27916453","SHANK3 Deficiency Impairs Heat Hyperalgesia and TRPV1 Signaling in Primary Sensory Neurons","Han Q, Kim YH, Wang X, Liu D, Zhang ZJ, Bey AL, Lay M, Chang W, Berta T, Zhang Y, Jiang YH, Ji RR.","Neuron. 2016 Dec 21;92(6):1279-1293. doi: 10.1016/j.neuron.2016.11.007. Epub 2016 Dec 1.","Han Q","Neuron","2016","2016/12/06","PMC5182147","NIHMS828851","10.1016/j.neuron.2016.11.007"
"18252227","Structural variation of chromosomes in autism spectrum disorder","Marshall CR, Noor A, Vincent JB, Lionel AC, Feuk L, Skaug J, Shago M, Moessner R, Pinto D, Ren Y, Thiruvahindrapduram B, Fiebig A, Schreiber S, Friedman J, Ketelaars CE, Vos YJ, Ficicioglu C, Kirkpatrick S, Nicolson R, Sloman L, Summers A, Gibbons CA, Teebi A, Chitayat D, Weksberg R, Thompson A, Vardy C, Crosbie V, Luscombe S, Baatjes R, Zwaigenbaum L, Roberts W, Fernandez B, Szatmari P, Scherer SW.","Am J Hum Genet. 2008 Feb;82(2):477-88. doi: 10.1016/j.ajhg.2007.12.009. Epub 2008 Jan 17.","Marshall CR","Am J Hum Genet","2008","2008/02/07","PMC2426913","","10.1016/j.ajhg.2007.12.009"
"32123378","Dysfunction of cortical GABAergic neurons leads to sensory hyper-reactivity in a Shank3 mouse model of ASD","Chen Q, Deister CA, Gao X, Guo B, Lynn-Jones T, Chen N, Wells MF, Liu R, Goard MJ, Dimidschstein J, Feng S, Shi Y, Liao W, Lu Z, Fishell G, Moore CI, Feng G.","Nat Neurosci. 2020 Apr;23(4):520-532. doi: 10.1038/s41593-020-0598-6. Epub 2020 Mar 2.","Chen Q","Nat Neurosci","2020","2020/03/04","PMC7131894","NIHMS1552758","10.1038/s41593-020-0598-6"
"29619162","CRISPR/Cas9-induced shank3b mutant zebrafish display autism-like behaviors","Liu CX, Li CY, Hu CC, Wang Y, Lin J, Jiang YH, Li Q, Xu X.","Mol Autism. 2018 Apr 2;9:23. doi: 10.1186/s13229-018-0204-x. eCollection 2018.","Liu CX","Mol Autism","2018","2018/04/06","PMC5879542","","10.1186/s13229-018-0204-x"
"29531362","Social deficits in Shank3-deficient mouse models of autism are rescued by histone deacetylase (HDAC) inhibition","Qin L, Ma K, Wang ZJ, Hu Z, Matas E, Wei J, Yan Z.","Nat Neurosci. 2018 Apr;21(4):564-575. doi: 10.1038/s41593-018-0110-8. Epub 2018 Mar 12.","Qin L","Nat Neurosci","2018","2018/03/14","PMC5876144","NIHMS941945","10.1038/s41593-018-0110-8"
"27271042","The association of SHANK3 gene polymorphism and autism","Mashayekhi F, Mizban N, Bidabadi E, Salehi Z.","Minerva Pediatr (Torino). 2021 Jun;73(3):251-255. doi: 10.23736/S2724-5276.16.04539-4. Epub 2016 Jun 8.","Mashayekhi F","Minerva Pediatr (Torino)","2021","2016/06/09","","","10.23736/S2724-5276.16.04539-4"
"26886798","Adult restoration of Shank3 expression rescues selective autistic-like phenotypes","Mei Y, Monteiro P, Zhou Y, Kim JA, Gao X, Fu Z, Feng G.","Nature. 2016 Feb 25;530(7591):481-4. doi: 10.1038/nature16971. Epub 2016 Feb 17.","Mei Y","Nature","2016","2016/02/18","PMC4898763","NIHMS749633","10.1038/nature16971"
"32126198","Tau Reduction Prevents Key Features of Autism in Mouse Models","Tai C, Chang CW, Yu GQ, Lopez I, Yu X, Wang X, Guo W, Mucke L.","Neuron. 2020 May 6;106(3):421-437.e11. doi: 10.1016/j.neuron.2020.01.038. Epub 2020 Mar 2.","Tai C","Neuron","2020","2020/03/04","PMC7210056","NIHMS1568772","10.1016/j.neuron.2020.01.038"
"31874107","An endocannabinoid-regulated basolateral amygdala-nucleus accumbens circuit modulates sociability","Folkes OM, Báldi R, Kondev V, Marcus DJ, Hartley ND, Turner BD, Ayers JK, Baechle JJ, Misra MP, Altemus M, Grueter CA, Grueter BA, Patel S.","J Clin Invest. 2020 Apr 1;130(4):1728-1742. doi: 10.1172/JCI131752.","Folkes OM","J Clin Invest","2020","2019/12/25","PMC7108917","","10.1172/JCI131752"
"29408620","Association between SHANK3 polymorphisms and susceptibility to autism spectrum disorder","Qiu S, Li Y, Li Y, Zhong W, Shi M, Zhao Q, Zhang K, Wang Y, Lu M, Zhu X, Jiang H, Yu Y, Cheng Y, Liu Y.","Gene. 2018 Apr 20;651:100-105. doi: 10.1016/j.gene.2018.01.078. Epub 2018 Feb 7.","Qiu S","Gene","2018","2018/02/07","","","10.1016/j.gene.2018.01.078"
"23332766","Retraction notice to: Enhanced polyubiquitination of Shank3 and NMDA receptor in a mouse model of autism","Bangash MA, Park JM, Melnikova T, Wang D, Jeon SK, Lee D, Syeda S, Kim J, Kouser M, Schwartz J, Cui Y, Zhao X, Speed HE, Kee SE, Tu JC, Hu JH, Petralia RS, Linden DJ, Powell CM, Savonenko A, Xiao B, Worley PF.","Cell. 2013 Jan 17;152(1-2):367. doi: 10.1016/j.cell.2012.12.039.","Bangash MA","Cell","2013","2013/01/22","PMC4383289","NIHMS673862","10.1016/j.cell.2012.12.039"
"24132240","SHANK3 and IGF1 restore synaptic deficits in neurons from 22q13 deletion syndrome patients","Shcheglovitov A, Shcheglovitova O, Yazawa M, Portmann T, Shu R, Sebastiano V, Krawisz A, Froehlich W, Bernstein JA, Hallmayer JF, Dolmetsch RE.","Nature. 2013 Nov 14;503(7475):267-71. doi: 10.1038/nature12618. Epub 2013 Oct 16.","Shcheglovitov A","Nature","2013","2013/10/18","PMC5559273","NIHMS893215","10.1038/nature12618"
"27293187","Peripheral Mechanosensory Neuron Dysfunction Underlies Tactile and Behavioral Deficits in Mouse Models of ASDs","Orefice LL, Zimmerman AL, Chirila AM, Sleboda SJ, Head JP, Ginty DD.","Cell. 2016 Jul 14;166(2):299-313. doi: 10.1016/j.cell.2016.05.033. Epub 2016 Jun 9.","Orefice LL","Cell","2016","2016/06/14","PMC5567792","NIHMS787195","10.1016/j.cell.2016.05.033"
"30868621","Autism-associated Shank3 mutations alter mGluR expression and mGluR-dependent but not NMDA receptor-dependent long-term depression","Lee K, Vyas Y, Garner CC, Montgomery JM.","Synapse. 2019 Aug;73(8):e22097. doi: 10.1002/syn.22097. Epub 2019 Mar 23.","Lee K","Synapse","2019","2019/03/15","","","10.1002/syn.22097"
"29719671","Delineation of the genetic and clinical spectrum of Phelan-McDermid syndrome caused by SHANK3 point mutations","De Rubeis S, Siper PM, Durkin A, Weissman J, Muratet F, Halpern D, Trelles MDP, Frank Y, Lozano R, Wang AT, Holder JL Jr, Betancur C, Buxbaum JD, Kolevzon A.","Mol Autism. 2018 Apr 27;9:31. doi: 10.1186/s13229-018-0205-9. eCollection 2018.","De Rubeis S","Mol Autism","2018","2018/05/03","PMC5921983","","10.1186/s13229-018-0205-9"
"31185809","Understanding intellectual disability and autism spectrum disorders from common mouse models: synapses to behaviour","Verma V, Paul A, Amrapali Vishwanath A, Vaidya B, Clement JP.","Open Biol. 2019 Jun 28;9(6):180265. doi: 10.1098/rsob.180265. Epub 2019 Jun 12.","Verma V","Open Biol","2019","2019/06/13","PMC6597757","","10.1098/rsob.180265"
"32619581","Abnormal neuronal morphology and altered synaptic proteins are restored by oxytocin in autism-related SHANK3 deficient model","Reichova A, Bacova Z, Bukatova S, Kokavcova M, Meliskova V, Frimmel K, Ostatnikova D, Bakos J.","Mol Cell Endocrinol. 2020 Dec 1;518:110924. doi: 10.1016/j.mce.2020.110924. Epub 2020 Jun 30.","Reichova A","Mol Cell Endocrinol","2020","2020/07/04","","","10.1016/j.mce.2020.110924"
"30853900","Shank3 Transgenic and Prenatal Zinc-Deficient Autism Mouse Models Show Convergent and Individual Alterations of Brain Structures in MRI","Schoen M, Asoglu H, Bauer HF, Müller HP, Abaei A, Sauer AK, Zhang R, Song TJ, Bockmann J, Kassubek J, Rasche V, Grabrucker AM, Boeckers TM.","Front Neural Circuits. 2019 Feb 22;13:6. doi: 10.3389/fncir.2019.00006. eCollection 2019.","Schoen M","Front Neural Circuits","2019","2019/03/12","PMC6395436","","10.3389/fncir.2019.00006"
"25188300","Meta-analysis of SHANK Mutations in Autism Spectrum Disorders: a gradient of severity in cognitive impairments","Leblond CS, Nava C, Polge A, Gauthier J, Huguet G, Lumbroso S, Giuliano F, Stordeur C, Depienne C, Mouzat K, Pinto D, Howe J, Lemière N, Durand CM, Guibert J, Ey E, Toro R, Peyre H, Mathieu A, Amsellem F, Rastam M, Gillberg IC, Rappold GA, Holt R, Monaco AP, Maestrini E, Galan P, Heron D, Jacquette A, Afenjar A, Rastetter A, Brice A, Devillard F, Assouline B, Laffargue F, Lespinasse J, Chiesa J, Rivier F, Bonneau D, Regnault B, Zelenika D, Delepine M, Lathrop M, Sanlaville D, Schluth-Bolard C, Edery P, Perrin L, Tabet AC, Schmeisser MJ, Boeckers TM, Coleman M, Sato D, Szatmari P, Scherer SW, Rouleau GA, Betancur C, Leboyer M, Gillberg C, Delorme R, Bourgeron T.","PLoS Genet. 2014 Sep 4;10(9):e1004580. doi: 10.1371/journal.pgen.1004580. eCollection 2014 Sep.","Leblond CS","PLoS Genet","2014","2014/09/05","PMC4154644","","10.1371/journal.pgen.1004580"
"32758248","Influence of maternal zinc supplementation on the development of autism-associated behavioural and synaptic deficits in offspring Shank3-knockout mice","Vyas Y, Lee K, Jung Y, Montgomery JM.","Mol Brain. 2020 Aug 5;13(1):110. doi: 10.1186/s13041-020-00650-0.","Vyas Y","Mol Brain","2020","2020/08/08","PMC7409418","","10.1186/s13041-020-00650-0"
"26045941","Phenotypic and functional analysis of SHANK3 stop mutations identified in individuals with ASD and/or ID","Cochoy DM, Kolevzon A, Kajiwara Y, Schoen M, Pascual-Lucas M, Lurie S, Buxbaum JD, Boeckers TM, Schmeisser MJ.","Mol Autism. 2015 Apr 29;6:23. doi: 10.1186/s13229-015-0020-5. eCollection 2015.","Cochoy DM","Mol Autism","2015","2015/06/06","PMC4455919","","10.1186/s13229-015-0020-5"
"24188901","Chromosomal microarray analysis of consecutive individuals with autism spectrum disorders or learning disability presenting for genetic services","Roberts JL, Hovanes K, Dasouki M, Manzardo AM, Butler MG.","Gene. 2014 Feb 1;535(1):70-8. doi: 10.1016/j.gene.2013.10.020. Epub 2013 Nov 2.","Roberts JL","Gene","2014","2013/11/06","PMC4423794","NIHMS684267","10.1016/j.gene.2013.10.020"
"29988084","Shank3 mutation in a mouse model of autism leads to changes in the S-nitroso-proteome and affects key proteins involved in vesicle release and synaptic function","Amal H, Barak B, Bhat V, Gong G, Joughin BA, Wang X, Wishnok JS, Feng G, Tannenbaum SR.","Mol Psychiatry. 2020 Aug;25(8):1835-1848. doi: 10.1038/s41380-018-0113-6. Epub 2018 Jul 9.","Amal H","Mol Psychiatry","2020","2018/07/11","PMC6614015","NIHMS1017564","10.1038/s41380-018-0113-6"
"31879555","Neuropsychiatric decompensation in adolescents and adults with Phelan-McDermid syndrome: a systematic review of the literature","Kolevzon A, Delaby E, Berry-Kravis E, Buxbaum JD, Betancur C.","Mol Autism. 2019 Dec 24;10:50. doi: 10.1186/s13229-019-0291-3. eCollection 2019.","Kolevzon A","Mol Autism","2019","2019/12/28","PMC6930682","","10.1186/s13229-019-0291-3"
"28281572","Genome-wide copy number variation analysis in a Chinese autism spectrum disorder cohort","Guo H, Peng Y, Hu Z, Li Y, Xun G, Ou J, Sun L, Xiong Z, Liu Y, Wang T, Chen J, Xia L, Bai T, Shen Y, Tian Q, Hu Y, Shen L, Zhao R, Zhang X, Zhang F, Zhao J, Zou X, Xia K.","Sci Rep. 2017 Mar 10;7:44155. doi: 10.1038/srep44155.","Guo H","Sci Rep","2017","2017/03/11","PMC5345089","","10.1038/srep44155"
"28753255","Comprehensive analysis of two Shank3 and the Cacna1c mouse models of autism spectrum disorder","Kabitzke PA, Brunner D, He D, Fazio PA, Cox K, Sutphen J, Thiede L, Sabath E, Hanania T, Alexandrov V, Rasmusson R, Spooren W, Ghosh A, Feliciano P, Biemans B, Benedetti M, Clayton AL.","Genes Brain Behav. 2018 Jan;17(1):4-22. doi: 10.1111/gbb.12405. Epub 2017 Sep 5.","Kabitzke PA","Genes Brain Behav","2018","2017/07/29","","","10.1111/gbb.12405"
"30763456","Targeted resequencing of 358 candidate genes for autism spectrum disorder in a Chinese cohort reveals diagnostic potential and genotype-phenotype correlations","Zhou WZ, Zhang J, Li Z, Lin X, Li J, Wang S, Yang C, Wu Q, Ye AY, Wang M, Wang D, Pu TZ, Wu YY, Wei L.","Hum Mutat. 2019 Jun;40(6):801-815. doi: 10.1002/humu.23724. Epub 2019 Apr 29.","Zhou WZ","Hum Mutat","2019","2019/02/15","PMC6593842","","10.1002/humu.23724"
"17173049","Mutations in the gene encoding the synaptic scaffolding protein SHANK3 are associated with autism spectrum disorders","Durand CM, Betancur C, Boeckers TM, Bockmann J, Chaste P, Fauchereau F, Nygren G, Rastam M, Gillberg IC, Anckarsäter H, Sponheim E, Goubran-Botros H, Delorme R, Chabane N, Mouren-Simeoni MC, de Mas P, Bieth E, Rogé B, Héron D, Burglen L, Gillberg C, Leboyer M, Bourgeron T.","Nat Genet. 2007 Jan;39(1):25-7. doi: 10.1038/ng1933. Epub 2006 Dec 17.","Durand CM","Nat Genet","2007","2006/12/19","PMC2082049","HALMS166899","10.1038/ng1933"
"29939863","SHANK3 variant as a cause of nonsyndromal autism in an 11-year-old boy and a review of published literature","Kanani F, Study D, Balasubramanian M.","Clin Dysmorphol. 2018 Oct;27(4):113-115. doi: 10.1097/MCD.0000000000000232.","Kanani F","Clin Dysmorphol","2018","2018/06/26","","","10.1097/MCD.0000000000000232"
"27562614","Developmental profiling of ASD-related shank3 transcripts and their differential regulation by valproic acid in zebrafish","Liu CX, Peng XL, Hu CC, Li CY, Li Q, Xu X.","Dev Genes Evol. 2016 Nov;226(6):389-400. doi: 10.1007/s00427-016-0561-4. Epub 2016 Aug 26.","Liu CX","Dev Genes Evol","2016","2016/08/27","PMC5099374","","10.1007/s00427-016-0561-4"
"23758760","Prospective investigation of autism and genotype-phenotype correlations in 22q13 deletion syndrome and SHANK3 deficiency","Soorya L, Kolevzon A, Zweifach J, Lim T, Dobry Y, Schwartz L, Frank Y, Wang AT, Cai G, Parkhomenko E, Halpern D, Grodberg D, Angarita B, Willner JP, Yang A, Canitano R, Chaplin W, Betancur C, Buxbaum JD.","Mol Autism. 2013 Jun 11;4(1):18. doi: 10.1186/2040-2392-4-18.","Soorya L","Mol Autism","2013","2013/06/14","PMC3707861","","10.1186/2040-2392-4-18"
"23100419","Autism-associated mutations in ProSAP2/Shank3 impair synaptic transmission and neurexin-neuroligin-mediated transsynaptic signaling","Arons MH, Thynne CJ, Grabrucker AM, Li D, Schoen M, Cheyne JE, Boeckers TM, Montgomery JM, Garner CC.","J Neurosci. 2012 Oct 24;32(43):14966-78. doi: 10.1523/JNEUROSCI.2215-12.2012.","Arons MH","J Neurosci","2012","2012/10/27","PMC3752148","","10.1523/JNEUROSCI.2215-12.2012"
"31052177","Altered Intestinal Morphology and Microbiota Composition in the Autism Spectrum Disorders Associated SHANK3 Mouse Model","Sauer AK, Bockmann J, Steinestel K, Boeckers TM, Grabrucker AM.","Int J Mol Sci. 2019 Apr 30;20(9):2134. doi: 10.3390/ijms20092134.","Sauer AK","Int J Mol Sci","2019","2019/05/05","PMC6540607","","10.3390/ijms20092134"
"27785461","Immature Neurons and Radial Glia, But Not Astrocytes or Microglia, Are Altered in Adult Cntnap2 and Shank3 Mice, Models of Autism","Cope EC, Briones BA, Brockett AT, Martinez S, Vigneron PA, Opendak M, Wang SS, Gould E.","eNeuro. 2016 Oct 17;3(5):ENEURO.0196-16.2016. doi: 10.1523/ENEURO.0196-16.2016. eCollection 2016 Sep-Oct.","Cope EC","eNeuro","2016","2016/10/28","PMC5066262","","10.1523/ENEURO.0196-16.2016"
"25167861","Efficient strategy for the molecular diagnosis of intellectual disability using targeted high-throughput sequencing","Redin C, Gérard B, Lauer J, Herenger Y, Muller J, Quartier A, Masurel-Paulet A, Willems M, Lesca G, El-Chehadeh S, Le Gras S, Vicaire S, Philipps M, Dumas M, Geoffroy V, Feger C, Haumesser N, Alembik Y, Barth M, Bonneau D, Colin E, Dollfus H, Doray B, Delrue MA, Drouin-Garraud V, Flori E, Fradin M, Francannet C, Goldenberg A, Lumbroso S, Mathieu-Dramard M, Martin-Coignard D, Lacombe D, Morin G, Polge A, Sukno S, Thauvin-Robinet C, Thevenon J, Doco-Fenzy M, Genevieve D, Sarda P, Edery P, Isidor B, Jost B, Olivier-Faivre L, Mandel JL, Piton A.","J Med Genet. 2014 Nov;51(11):724-36. doi: 10.1136/jmedgenet-2014-102554. Epub 2014 Aug 28.","Redin C","J Med Genet","2014","2014/08/30","PMC4215287","","10.1136/jmedgenet-2014-102554"
"27492494","Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function","Jaramillo TC, Speed HE, Xuan Z, Reimers JM, Escamilla CO, Weaver TP, Liu S, Filonova I, Powell CM.","Autism Res. 2017 Jan;10(1):42-65. doi: 10.1002/aur.1664. Epub 2016 Aug 5.","Jaramillo TC","Autism Res","2017","2016/08/06","PMC5274551","NIHMS815282","10.1002/aur.1664"
"30610205","An autism-linked missense mutation in SHANK3 reveals the modularity of Shank3 function","Wang L, Pang K, Han K, Adamski CJ, Wang W, He L, Lai JK, Bondar VV, Duman JG, Richman R, Tolias KF, Barth P, Palzkill T, Liu Z, Holder JL Jr, Zoghbi HY.","Mol Psychiatry. 2020 Oct;25(10):2534-2555. doi: 10.1038/s41380-018-0324-x. Epub 2019 Jan 4.","Wang L","Mol Psychiatry","2020","2019/01/06","PMC6609509","NIHMS1512779","10.1038/s41380-018-0324-x"
"21751912","SHANK3, the synapse, and autism","Herbert MR.","N Engl J Med. 2011 Jul 14;365(2):173-5. doi: 10.1056/NEJMcibr1104261.","Herbert MR","N Engl J Med","2011","2011/07/15","","","10.1056/NEJMcibr1104261"
"26559786","Altered Striatal Synaptic Function and Abnormal Behaviour in Shank3 Exon4-9 Deletion Mouse Model of Autism","Jaramillo TC, Speed HE, Xuan Z, Reimers JM, Liu S, Powell CM.","Autism Res. 2016 Mar;9(3):350-75. doi: 10.1002/aur.1529. Epub 2015 Nov 11.","Jaramillo TC","Autism Res","2016","2015/11/13","PMC4857590","NIHMS782402","10.1002/aur.1529"
"33203459","Altered synaptic ultrastructure in the prefrontal cortex of Shank3-deficient rats","Jacot-Descombes S, Keshav NU, Dickstein DL, Wicinski B, Janssen WGM, Hiester LL, Sarfo EK, Warda T, Fam MM, Harony-Nicolas H, Buxbaum JD, Hof PR, Varghese M.","Mol Autism. 2020 Nov 17;11(1):89. doi: 10.1186/s13229-020-00393-8.","Jacot-Descombes S","Mol Autism","2020","2020/11/18","PMC7671669","","10.1186/s13229-020-00393-8"
"30064494","Single-molecule fluorescence in-situ hybridization reveals that human SHANK3 mRNA expression varies during development and in autism-associated SHANK3 heterozygosity","Taylor SE, Taylor RD, Price J, Andreae LC.","Stem Cell Res Ther. 2018 Jul 31;9(1):206. doi: 10.1186/s13287-018-0957-3.","Taylor SE","Stem Cell Res Ther","2018","2018/08/02","PMC6069870","","10.1186/s13287-018-0957-3"
