PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32472753","Risk factors, diagnosis, prognosis and treatment of autism","Styles M, Alsharshani D, Samara M, Alsharshani M, Khattab A, Qoronfleh MW, Al-Dewik NI.","Front Biosci (Landmark Ed). 2020 Jun 1;25:1682-1717. doi: 10.2741/4873.","Styles M","Front Biosci (Landmark Ed)","2020","2020/05/31","","","10.2741/4873"
"29221905","Neurexins and neuropsychiatric disorders","Kasem E, Kurihara T, Tabuchi K.","Neurosci Res. 2018 Feb;127:53-60. doi: 10.1016/j.neures.2017.10.012. Epub 2017 Dec 6.","Kasem E","Neurosci Res","2018","2017/12/10","","","10.1016/j.neures.2017.10.012"
"26130694","CNVs in neuropsychiatric disorders","Kirov G.","Hum Mol Genet. 2015 Oct 15;24(R1):R45-9. doi: 10.1093/hmg/ddv253. Epub 2015 Jun 30.","Kirov G","Hum Mol Genet","2015","2015/07/02","","","10.1093/hmg/ddv253"
"21658581","Multiple recurrent de novo CNVs, including duplications of the 7q11.23 Williams syndrome region, are strongly associated with autism","Sanders SJ, Ercan-Sencicek AG, Hus V, Luo R, Murtha MT, Moreno-De-Luca D, Chu SH, Moreau MP, Gupta AR, Thomson SA, Mason CE, Bilguvar K, Celestino-Soper PB, Choi M, Crawford EL, Davis L, Wright NR, Dhodapkar RM, DiCola M, DiLullo NM, Fernandez TV, Fielding-Singh V, Fishman DO, Frahm S, Garagaloyan R, Goh GS, Kammela S, Klei L, Lowe JK, Lund SC, McGrew AD, Meyer KA, Moffat WJ, Murdoch JD, O'Roak BJ, Ober GT, Pottenger RS, Raubeson MJ, Song Y, Wang Q, Yaspan BL, Yu TW, Yurkiewicz IR, Beaudet AL, Cantor RM, Curland M, Grice DE, Günel M, Lifton RP, Mane SM, Martin DM, Shaw CA, Sheldon M, Tischfield JA, Walsh CA, Morrow EM, Ledbetter DH, Fombonne E, Lord C, Martin CL, Brooks AI, Sutcliffe JS, Cook EH Jr, Geschwind D, Roeder K, Devlin B, State MW.","Neuron. 2011 Jun 9;70(5):863-85. doi: 10.1016/j.neuron.2011.05.002.","Sanders SJ","Neuron","2011","2011/06/11","PMC3939065","NIHMS459807","10.1016/j.neuron.2011.05.002"
"19545994","A synaptic trek to autism","Bourgeron T.","Curr Opin Neurobiol. 2009 Apr;19(2):231-4. doi: 10.1016/j.conb.2009.06.003. Epub 2009 Jun 21.","Bourgeron T","Curr Opin Neurobiol","2009","2009/06/24","","","10.1016/j.conb.2009.06.003"
"26595880","Heterozygous deletion of α-neurexin I or α-neurexin II results in behaviors relevant to autism and schizophrenia","Dachtler J, Ivorra JL, Rowland TE, Lever C, Rodgers RJ, Clapcote SJ.","Behav Neurosci. 2015 Dec;129(6):765-76. doi: 10.1037/bne0000108.","Dachtler J","Behav Neurosci","2015","2015/11/24","PMC4655861","","10.1037/bne0000108"
"33374371","The Gut-Brain Axis in Autism Spectrum Disorder: A Focus on the Metalloproteases ADAM10 and ADAM17","Zheng Y, Verhoeff TA, Perez Pardo P, Garssen J, Kraneveld AD.","Int J Mol Sci. 2020 Dec 24;22(1):118. doi: 10.3390/ijms22010118.","Zheng Y","Int J Mol Sci","2020","2020/12/30","PMC7796333","","10.3390/ijms22010118"
"21262241","The role of neurexins in schizophrenia and autistic spectrum disorder","Reichelt AC, Rodgers RJ, Clapcote SJ.","Neuropharmacology. 2012 Mar;62(3):1519-26. doi: 10.1016/j.neuropharm.2011.01.024. Epub 2011 Jan 22.","Reichelt AC","Neuropharmacology","2012","2011/01/26","","","10.1016/j.neuropharm.2011.01.024"
"23533028","Molecular and clinical characterization of 25 individuals with exonic deletions of NRXN1 and comprehensive review of the literature","Béna F, Bruno DL, Eriksson M, van Ravenswaaij-Arts C, Stark Z, Dijkhuizen T, Gerkes E, Gimelli S, Ganesamoorthy D, Thuresson AC, Labalme A, Till M, Bilan F, Pasquier L, Kitzis A, Dubourgm C, Rossi M, Bottani A, Gagnebin M, Sanlaville D, Gilbert-Dussardier B, Guipponi M, van Haeringen A, Kriek M, Ruivenkamp C, Antonarakis SE, Anderlid BM, Slater HR, Schoumans J.","Am J Med Genet B Neuropsychiatr Genet. 2013 Jun;162B(4):388-403. doi: 10.1002/ajmg.b.32148. Epub 2013 Mar 26.","Béna F","Am J Med Genet B Neuropsychiatr Genet","2013","2013/03/28","","","10.1002/ajmg.b.32148"
"18419324","The possible interplay of synaptic and clock genes in autism spectrum disorders","Bourgeron T.","Cold Spring Harb Symp Quant Biol. 2007;72:645-54. doi: 10.1101/sqb.2007.72.020.","Bourgeron T","Cold Spring Harb Symp Quant Biol","2007","2008/04/19","","","10.1101/sqb.2007.72.020"
"22228009","Detection and characterization of copy number variation in autism spectrum disorder","Marshall CR, Scherer SW.","Methods Mol Biol. 2012;838:115-35. doi: 10.1007/978-1-61779-507-7_5.","Marshall CR","Methods Mol Biol","2012","2012/01/10","","","10.1007/978-1-61779-507-7_5"
"23495017","Investigation of NRXN1 deletions: clinical and molecular characterization","Dabell MP, Rosenfeld JA, Bader P, Escobar LF, El-Khechen D, Vallee SE, Dinulos MB, Curry C, Fisher J, Tervo R, Hannibal MC, Siefkas K, Wyatt PR, Hughes L, Smith R, Ellingwood S, Lacassie Y, Stroud T, Farrell SA, Sanchez-Lara PA, Randolph LM, Niyazov D, Stevens CA, Schoonveld C, Skidmore D, MacKay S, Miles JH, Moodley M, Huillet A, Neill NJ, Ellison JW, Ballif BC, Shaffer LG.","Am J Med Genet A. 2013 Apr;161A(4):717-31. doi: 10.1002/ajmg.a.35780. Epub 2013 Mar 12.","Dabell MP","Am J Med Genet A","2013","2013/03/16","","","10.1002/ajmg.a.35780"
"31743624","Integrated Transcriptome Analyses Revealed Key Target Genes in Mouse Models of Autism","Duan W, Wang K, Duan Y, Chu X, Ma R, Hu P, Xiong B.","Autism Res. 2020 Mar;13(3):352-368. doi: 10.1002/aur.2240. Epub 2019 Nov 19.","Duan W","Autism Res","2020","2019/11/20","","","10.1002/aur.2240"
"31932357","The clinical relevance of intragenic NRXN1 deletions","Cosemans N, Vandenhove L, Vogels A, Devriendt K, Van Esch H, Van Buggenhout G, Olivié H, de Ravel T, Ortibus E, Legius E, Aerssens P, Breckpot J, R Vermeesch J, Shen S, Fitzgerald J, Gallagher L, Peeters H.","J Med Genet. 2020 May;57(5):347-355. doi: 10.1136/jmedgenet-2019-106448. Epub 2020 Jan 13.","Cosemans N","J Med Genet","2020","2020/01/15","","","10.1136/jmedgenet-2019-106448"
"30675382","Both rare and common genetic variants contribute to autism in the Faroe Islands","Leblond CS, Cliquet F, Carton C, Huguet G, Mathieu A, Kergrohen T, Buratti J, Lemière N, Cuisset L, Bienvenu T, Boland A, Deleuze JF, Stora T, Biskupstoe R, Halling J, Andorsdóttir G, Billstedt E, Gillberg C, Bourgeron T.","NPJ Genom Med. 2019 Jan 21;4:1. doi: 10.1038/s41525-018-0075-2. eCollection 2019.","Leblond CS","NPJ Genom Med","2019","2019/01/25","PMC6341098","","10.1038/s41525-018-0075-2"
"26216298","Neurexin 1 (NRXN1) splice isoform expression during human neocortical development and aging","Jenkins AK, Paterson C, Wang Y, Hyde TM, Kleinman JE, Law AJ.","Mol Psychiatry. 2016 May;21(5):701-6. doi: 10.1038/mp.2015.107. Epub 2015 Jul 28.","Jenkins AK","Mol Psychiatry","2016","2015/07/29","PMC4731316","NIHMS702572","10.1038/mp.2015.107"
"20010541","Osmotic avoidance in Caenorhabditis elegans: synaptic function of two genes, orthologues of human NRXN1 and NLGN1, as candidates for autism","Calahorro F, Alejandre E, Ruiz-Rubio M.","J Vis Exp. 2009 Dec 11;(34):1616. doi: 10.3791/1616.","Calahorro F","J Vis Exp","2009","2009/12/17","PMC3346054","","10.3791/1616"
"22813947","Copy number variations in neurodevelopmental disorders","Grayton HM, Fernandes C, Rujescu D, Collier DA.","Prog Neurobiol. 2012 Oct;99(1):81-91. doi: 10.1016/j.pneurobio.2012.07.005. Epub 2012 Jul 17.","Grayton HM","Prog Neurobiol","2012","2012/07/21","","","10.1016/j.pneurobio.2012.07.005"
"28649445","Variable phenotype expression in a family segregating microdeletions of the NRXN1 and MBD5 autism spectrum disorder susceptibility genes","Woodbury-Smith M, Nicolson R, Zarrei M, Yuen RKC, Walker S, Howe J, Uddin M, Hoang N, Buchanan JA, Chrysler C, Thompson A, Szatmari P, Scherer SW.","NPJ Genom Med. 2017 May 3;2:17. doi: 10.1038/s41525-017-0020-9.","Woodbury-Smith M","NPJ Genom Med","2017","2017/06/27","PMC5482711","CAMS6765","10.1038/s41525-017-0020-9"
"20162629","Intragenic rearrangements in NRXN1 in three families with autism spectrum disorder, developmental delay, and speech delay","Wiśniowiecka-Kowalnik B, Nesteruk M, Peters SU, Xia Z, Cooper ML, Savage S, Amato RS, Bader P, Browning MF, Haun CL, Duda AW 3rd, Cheung SW, Stankiewicz P.","Am J Med Genet B Neuropsychiatr Genet. 2010 Jul;153B(5):983-93. doi: 10.1002/ajmg.b.31064.","Wiśniowiecka-Kowalnik B","Am J Med Genet B Neuropsychiatr Genet","2010","2010/02/18","","","10.1002/ajmg.b.31064"
"21827697","Expanding the clinical spectrum associated with defects in CNTNAP2 and NRXN1","Gregor A, Albrecht B, Bader I, Bijlsma EK, Ekici AB, Engels H, Hackmann K, Horn D, Hoyer J, Klapecki J, Kohlhase J, Maystadt I, Nagl S, Prott E, Tinschert S, Ullmann R, Wohlleber E, Woods G, Reis A, Rauch A, Zweier C.","BMC Med Genet. 2011 Aug 9;12:106. doi: 10.1186/1471-2350-12-106.","Gregor A","BMC Med Genet","2011","2011/08/11","PMC3162517","","10.1186/1471-2350-12-106"
"19896112","CNTNAP2 and NRXN1 are mutated in autosomal-recessive Pitt-Hopkins-like mental retardation and determine the level of a common synaptic protein in Drosophila","Zweier C, de Jong EK, Zweier M, Orrico A, Ousager LB, Collins AL, Bijlsma EK, Oortveld MA, Ekici AB, Reis A, Schenck A, Rauch A.","Am J Hum Genet. 2009 Nov;85(5):655-66. doi: 10.1016/j.ajhg.2009.10.004. Epub 2009 Nov 5.","Zweier C","Am J Hum Genet","2009","2009/11/10","PMC2775834","","10.1016/j.ajhg.2009.10.004"
"21687627","Neurexin-1 and frontal lobe white matter: an overlapping intermediate phenotype for schizophrenia and autism spectrum disorders","Voineskos AN, Lett TA, Lerch JP, Tiwari AK, Ameis SH, Rajji TK, Müller DJ, Mulsant BH, Kennedy JL.","PLoS One. 2011;6(6):e20982. doi: 10.1371/journal.pone.0020982. Epub 2011 Jun 8.","Voineskos AN","PLoS One","2011","2011/06/21","PMC3110800","","10.1371/journal.pone.0020982"
"30358070","Characterization of speech and language phenotype in children with NRXN1 deletions","Brignell A, St John M, Boys A, Bruce A, Dinale C, Pigdon L, Hildebrand MS, Amor DJ, Morgan AT.","Am J Med Genet B Neuropsychiatr Genet. 2018 Dec;177(8):700-708. doi: 10.1002/ajmg.b.32664. Epub 2018 Oct 25.","Brignell A","Am J Med Genet B Neuropsychiatr Genet","2018","2018/10/26","","","10.1002/ajmg.b.32664"
"21895634","Recent genomic advances in schizophrenia","Doherty JL, O'Donovan MC, Owen MJ.","Clin Genet. 2012 Feb;81(2):103-9. doi: 10.1111/j.1399-0004.2011.01773.x. Epub 2011 Oct 5.","Doherty JL","Clin Genet","2012","2011/09/08","","","10.1111/j.1399-0004.2011.01773.x"
"34487988","Rare NRXN1 missense variants identified in autism interfered protein degradation and Drosophila sleeping","Liu Y, Shen L, Zhang Y, Zhao R, Liu C, Luo S, Chen J, Xia L, Li T, Peng Y, Xia K.","J Psychiatr Res. 2021 Nov;143:113-122. doi: 10.1016/j.jpsychires.2021.09.013. Epub 2021 Sep 2.","Liu Y","J Psychiatr Res","2021","2021/09/06","","","10.1016/j.jpsychires.2021.09.013"
"22374773","[Differential diagnosis between the autistic spectrum and the schizophrenic spectrum]","Paula-Pérez I.","Rev Neurol. 2012 Feb 29;54 Suppl 1:S51-62.","Paula-Pérez I","Rev Neurol","2012","2012/03/01","","",""
"19348707","Genetics of autism spectrum disorders","Kumar RA, Christian SL.","Curr Neurol Neurosci Rep. 2009 May;9(3):188-97. doi: 10.1007/s11910-009-0029-2.","Kumar RA","Curr Neurol Neurosci Rep","2009","2009/04/08","","","10.1007/s11910-009-0029-2"
"22832527","Genetic regulation of Nrxn1 [corrected] expression: an integrative cross-species analysis of schizophrenia candidate genes","Mozhui K, Wang X, Chen J, Mulligan MK, Li Z, Ingles J, Chen X, Lu L, Williams RW.","Transl Psychiatry. 2011 Jul 26;1(7):e25. doi: 10.1038/tp.2011.24.","Mozhui K","Transl Psychiatry","2011","2012/07/27","PMC3309521","","10.1038/tp.2011.24"
"31812984","Ketamine Restores Thalamic-Prefrontal Cortex Functional Connectivity in a Mouse Model of Neurodevelopmental Disorder-Associated 2p16.3 Deletion","B Hughes R, Whittingham-Dowd J, Simmons RE, Clapcote SJ, Broughton SJ, Dawson N.","Cereb Cortex. 2020 Apr 14;30(4):2358-2371. doi: 10.1093/cercor/bhz244.","B Hughes R","Cereb Cortex","2020","2019/12/09","PMC7175007","","10.1093/cercor/bhz244"
"32298718","Convergent brain microstructure across multiple genetic models of schizophrenia and autism spectrum disorder: A feasibility study","Barnett BR, Casey CP, Torres-Velázquez M, Rowley PA, Yu JJ.","Magn Reson Imaging. 2020 Jul;70:36-42. doi: 10.1016/j.mri.2020.04.002. Epub 2020 Apr 13.","Barnett BR","Magn Reson Imaging","2020","2020/04/17","PMC7685399","NIHMS1587945","10.1016/j.mri.2020.04.002"
"30557783","Convergent microstructural brain changes across genetic models of autism spectrum disorder-A pilot study","Rowley PA, Guerrero-Gonzalez J, Alexander AL, Yu JJ.","Psychiatry Res Neuroimaging. 2019 Jan 30;283:83-91. doi: 10.1016/j.pscychresns.2018.12.007. Epub 2018 Dec 8.","Rowley PA","Psychiatry Res Neuroimaging","2019","2018/12/18","PMC6398946","NIHMS1516802","10.1016/j.pscychresns.2018.12.007"
"28289584","Mutation analysis of the NRXN1 gene in autism spectrum disorders","Onay H, Kacamak D, Kavasoglu AN, Akgun B, Yalcinli M, Kose S, Ozbaran B.","Balkan J Med Genet. 2017 Mar 8;19(2):17-22. doi: 10.1515/bjmg-2016-0031. eCollection 2016 Dec 1.","Onay H","Balkan J Med Genet","2017","2017/03/15","PMC5343326","","10.1515/bjmg-2016-0031"
"22037798","Neurexins and neuroligins: recent insights from invertebrates","Knight D, Xie W, Boulianne GL.","Mol Neurobiol. 2011 Dec;44(3):426-40. doi: 10.1007/s12035-011-8213-1. Epub 2011 Oct 30.","Knight D","Mol Neurobiol","2011","2011/11/01","PMC3229692","","10.1007/s12035-011-8213-1"
"19818200","What have the genomics ever done for the psychoses?","Gill M, Donohoe G, Corvin A.","Psychol Med. 2010 Apr;40(4):529-40. doi: 10.1017/S0033291709991139. Epub 2009 Oct 12.","Gill M","Psychol Med","2010","2009/10/13","","","10.1017/S0033291709991139"
