PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28714951","Rates, distribution and implications of postzygotic mosaic mutations in autism spectrum disorder","Lim ET, Uddin M, De Rubeis S, Chan Y, Kamumbu AS, Zhang X, D'Gama AM, Kim SN, Hill RS, Goldberg AP, Poultney C, Minshew NJ, Kushima I, Aleksic B, Ozaki N, Parellada M, Arango C, Penzol MJ, Carracedo A, Kolevzon A, Hultman CM, Weiss LA, Fromer M, Chiocchetti AG, Freitag CM; Autism Sequencing Consortium, Church GM, Scherer SW, Buxbaum JD, Walsh CA.","Nat Neurosci. 2017 Sep;20(9):1217-1224. doi: 10.1038/nn.4598. Epub 2017 Jul 17.","Lim ET","Nat Neurosci","2017","2017/07/18","PMC5672813","NIHMS881982","10.1038/nn.4598"
"28379373","Genetic and phenotypic heterogeneity suggest therapeutic implications in SCN2A-related disorders","Wolff M, Johannesen KM, Hedrich UBS, Masnada S, Rubboli G, Gardella E, Lesca G, Ville D, Milh M, Villard L, Afenjar A, Chantot-Bastaraud S, Mignot C, Lardennois C, Nava C, Schwarz N, Gérard M, Perrin L, Doummar D, Auvin S, Miranda MJ, Hempel M, Brilstra E, Knoers N, Verbeek N, van Kempen M, Braun KP, Mancini G, Biskup S, Hörtnagel K, Döcker M, Bast T, Loddenkemper T, Wong-Kisiel L, Baumeister FM, Fazeli W, Striano P, Dilena R, Fontana E, Zara F, Kurlemann G, Klepper J, Thoene JG, Arndt DH, Deconinck N, Schmitt-Mechelke T, Maier O, Muhle H, Wical B, Finetti C, Brückner R, Pietz J, Golla G, Jillella D, Linnet KM, Charles P, Moog U, Õiglane-Shlik E, Mantovani JF, Park K, Deprez M, Lederer D, Mary S, Scalais E, Selim L, Van Coster R, Lagae L, Nikanorova M, Hjalgrim H, Korenke GC, Trivisano M, Specchio N, Ceulemans B, Dorn T, Helbig KL, Hardies K, Stamberger H, de Jonghe P, Weckhuysen S, Lemke JR, Krägeloh-Mann I, Helbig I, Kluger G, Lerche H, Møller RS.","Brain. 2017 May 1;140(5):1316-1336. doi: 10.1093/brain/awx054.","Wolff M","Brain","2017","2017/04/06","","","10.1093/brain/awx054"
"33179249","Description of neurodevelopmental phenotypes associated with 10 genetic neurodevelopmental disorders: A scoping review","Hanly C, Shah H, Au PYB, Murias K.","Clin Genet. 2021 Mar;99(3):335-346. doi: 10.1111/cge.13882. Epub 2020 Nov 18.","Hanly C","Clin Genet","2021","2020/11/12","","","10.1111/cge.13882"
"32469098","Phenotypic and genetic spectrum of epilepsy with myoclonic atonic seizures","Tang S, Addis L, Smith A, Topp SD, Pendziwiat M, Mei D, Parker A, Agrawal S, Hughes E, Lascelles K, Williams RE, Fallon P, Robinson R, Cross HJ, Hedderly T, Eltze C, Kerr T, Desurkar A, Hussain N, Kinali M, Bagnasco I, Vassallo G, Whitehouse W, Goyal S, Absoud M; EuroEPINOMICS-RES Consortium, Møller RS, Helbig I, Weber YG, Marini C, Guerrini R, Simpson MA, Pal DK.","Epilepsia. 2020 May;61(5):995-1007. doi: 10.1111/epi.16508. Epub 2020 May 29.","Tang S","Epilepsia","2020","2020/05/30","","","10.1111/epi.16508"
"23849776","Detection of clinically relevant genetic variants in autism spectrum disorder by whole-genome sequencing","Jiang YH, Yuen RK, Jin X, Wang M, Chen N, Wu X, Ju J, Mei J, Shi Y, He M, Wang G, Liang J, Wang Z, Cao D, Carter MT, Chrysler C, Drmic IE, Howe JL, Lau L, Marshall CR, Merico D, Nalpathamkalam T, Thiruvahindrapuram B, Thompson A, Uddin M, Walker S, Luo J, Anagnostou E, Zwaigenbaum L, Ring RH, Wang J, Lajonchere C, Wang J, Shih A, Szatmari P, Yang H, Dawson G, Li Y, Scherer SW.","Am J Hum Genet. 2013 Aug 8;93(2):249-63. doi: 10.1016/j.ajhg.2013.06.012. Epub 2013 Jul 11.","Jiang YH","Am J Hum Genet","2013","2013/07/16","PMC3738824","","10.1016/j.ajhg.2013.06.012"
"32090326","Biological concepts in human sodium channel epilepsies and their relevance in clinical practice","Brunklaus A, Du J, Steckler F, Ghanty II, Johannesen KM, Fenger CD, Schorge S, Baez-Nieto D, Wang HR, Allen A, Pan JQ, Lerche H, Heyne H, Symonds JD, Zuberi SM, Sanders S, Sheidley BR, Craiu D, Olson HE, Weckhuysen S, DeJonge P, Helbig I, Van Esch H, Busa T, Milh M, Isidor B, Depienne C, Poduri A, Campbell AJ, Dimidschstein J, Møller RS, Lal D.","Epilepsia. 2020 Mar;61(3):387-399. doi: 10.1111/epi.16438. Epub 2020 Feb 23.","Brunklaus A","Epilepsia","2020","2020/02/25","","","10.1111/epi.16438"
"30392976","Complete Disruption of Autism-Susceptibility Genes by Gene Editing Predominantly Reduces Functional Connectivity of Isogenic Human Neurons","Deneault E, White SH, Rodrigues DC, Ross PJ, Faheem M, Zaslavsky K, Wang Z, Alexandrova R, Pellecchia G, Wei W, Piekna A, Kaur G, Howe JL, Kwan V, Thiruvahindrapuram B, Walker S, Lionel AC, Pasceri P, Merico D, Yuen RKC, Singh KK, Ellis J, Scherer SW.","Stem Cell Reports. 2018 Nov 13;11(5):1211-1225. doi: 10.1016/j.stemcr.2018.10.003. Epub 2018 Nov 1.","Deneault E","Stem Cell Reports","2018","2018/11/06","PMC6235011","","10.1016/j.stemcr.2018.10.003"
"22495306","De novo mutations revealed by whole-exome sequencing are strongly associated with autism","Sanders SJ, Murtha MT, Gupta AR, Murdoch JD, Raubeson MJ, Willsey AJ, Ercan-Sencicek AG, DiLullo NM, Parikshak NN, Stein JL, Walker MF, Ober GT, Teran NA, Song Y, El-Fishawy P, Murtha RC, Choi M, Overton JD, Bjornson RD, Carriero NJ, Meyer KA, Bilguvar K, Mane SM, Sestan N, Lifton RP, Günel M, Roeder K, Geschwind DH, Devlin B, State MW.","Nature. 2012 Apr 4;485(7397):237-41. doi: 10.1038/nature10945.","Sanders SJ","Nature","2012","2012/04/13","PMC3667984","NIHMS467137","10.1038/nature10945"
"32193494","Genetic landscape of autism spectrum disorder in Vietnamese children","Tran KT, Le VS, Bui HTP, Do DH, Ly HTT, Nguyen HT, Dao LTM, Nguyen TH, Vu DM, Ha LT, Le HTT, Mukhopadhyay A, Nguyen LT.","Sci Rep. 2020 Mar 19;10(1):5034. doi: 10.1038/s41598-020-61695-8.","Tran KT","Sci Rep","2020","2020/03/21","PMC7081304","","10.1038/s41598-020-61695-8"
"32264956","SCN2A channelopathies in the autism spectrum of neuropsychiatric disorders: a role for pluripotent stem cells?","Kruth KA, Grisolano TM, Ahern CA, Williams AJ.","Mol Autism. 2020 Apr 7;11(1):23. doi: 10.1186/s13229-020-00330-9.","Kruth KA","Mol Autism","2020","2020/04/09","PMC7140374","","10.1186/s13229-020-00330-9"
"30071822","Heterozygous deletion of SCN2A and SCN3A in a patient with autism spectrum disorder and Tourette syndrome: a case report","Nickel K, Tebartz van Elst L, Domschke K, Gläser B, Stock F, Endres D, Maier S, Riedel A.","BMC Psychiatry. 2018 Aug 2;18(1):248. doi: 10.1186/s12888-018-1822-8.","Nickel K","BMC Psychiatry","2018","2018/08/04","PMC6090917","","10.1186/s12888-018-1822-8"
"31272037","Generation of an induced pluripotent stem cell line from a patient with autism spectrum disorder and SCN2A haploinsufficiency","Sampaio GLA, Martins GLS, Paredes BD, Nonaka CKV, da Silva KN, Rossi EA, Dos Santos RR, Soares MBP, Souza BSF.","Stem Cell Res. 2019 Aug;39:101488. doi: 10.1016/j.scr.2019.101488. Epub 2019 Jun 25.","Sampaio GLA","Stem Cell Res","2019","2019/07/05","","","10.1016/j.scr.2019.101488"
"12610651","Sodium channels SCN1A, SCN2A and SCN3A in familial autism","Weiss LA, Escayg A, Kearney JA, Trudeau M, MacDonald BT, Mori M, Reichert J, Buxbaum JD, Meisler MH.","Mol Psychiatry. 2003 Feb;8(2):186-94. doi: 10.1038/sj.mp.4001241.","Weiss LA","Mol Psychiatry","2003","2003/03/01","","","10.1038/sj.mp.4001241"
"34156984","Scn2a severe hypomorphic mutation decreases excitatory synaptic input and causes autism-associated behaviors","Wang HG, Bavley CC, Li A, Jones RM, Hackett J, Bayleyen Y, Lee FS, Rajadhyaksha AM, Pitt GS.","JCI Insight. 2021 Aug 9;6(15):e150698. doi: 10.1172/jci.insight.150698.","Wang HG","JCI Insight","2021","2021/06/22","PMC8410058","","10.1172/jci.insight.150698"
"18302128","[Autism, epilepsy and genetics]","Muñoz-Yunta JA, Palau-Baduell M, Salvadó-Salvadó B, Valls-Santasusana A, Rosendo-Moreno N, Clofent-Torrentó M, Manchado F.","Rev Neurol. 2008;46 Suppl 1:S71-7.","Muñoz-Yunta JA","Rev Neurol","2008","2008/03/21","","",""
"32918531","Developmental Predictors of Cognitive and Adaptive Outcomes in Genetic Subtypes of Autism Spectrum Disorder","Arnett AB, Beighley JS, Kurtz-Nelson EC, Hoekzema K, Wang T, Bernier RA, Eichler EE.","Autism Res. 2020 Oct;13(10):1659-1669. doi: 10.1002/aur.2385. Epub 2020 Sep 12.","Arnett AB","Autism Res","2020","2020/09/12","PMC7861657","NIHMS1662518","10.1002/aur.2385"
"31139143","The Clinical and Genetic Features of Co-occurring Epilepsy and Autism Spectrum Disorder in Chinese Children","Long S, Zhou H, Li S, Wang T, Ma Y, Li C, Zhou Y, Zhou S, Wu B, Wang Y.","Front Neurol. 2019 May 14;10:505. doi: 10.3389/fneur.2019.00505. eCollection 2019.","Long S","Front Neurol","2019","2019/05/30","PMC6527735","","10.3389/fneur.2019.00505"
"24387789","A de novo convergence of autism genetics and molecular neuroscience","Krumm N, O'Roak BJ, Shendure J, Eichler EE.","Trends Neurosci. 2014 Feb;37(2):95-105. doi: 10.1016/j.tins.2013.11.005. Epub 2013 Dec 30.","Krumm N","Trends Neurosci","2014","2014/01/07","PMC4077788","HHMIMS604508","10.1016/j.tins.2013.11.005"
"27478051","[Autism spectrum disorders and epilepsy]","Andoh M, Ikegaya Y, Koyama R.","Nihon Yakurigaku Zasshi. 2016 Aug;148(2):121-2. doi: 10.1254/fpj.148.121.","Andoh M","Nihon Yakurigaku Zasshi","2016","2016/08/02","","","10.1254/fpj.148.121"
"31501495","Na(V)1.2 haploinsufficiency in Scn2a knock-out mice causes an autistic-like phenotype attenuated with age","Léna I, Mantegazza M.","Sci Rep. 2019 Sep 9;9(1):12886. doi: 10.1038/s41598-019-49392-7.","Léna I","Sci Rep","2019","2019/09/11","PMC6733925","","10.1038/s41598-019-49392-7"
"30928199","Clinical and genetic spectrum of SCN2A-associated episodic ataxia","Schwarz N, Bast T, Gaily E, Golla G, Gorman KM, Griffiths LR, Hahn A, Hukin J, King M, Korff C, Miranda MJ, Møller RS, Neubauer B, Smith RA, Smol T, Striano P, Stroud B, Vaccarezza M, Kluger G, Lerche H, Fazeli W.","Eur J Paediatr Neurol. 2019 May;23(3):438-447. doi: 10.1016/j.ejpn.2019.03.001. Epub 2019 Mar 7.","Schwarz N","Eur J Paediatr Neurol","2019","2019/04/01","","","10.1016/j.ejpn.2019.03.001"
"33484493","Kv1.1 deficiency alters repetitive and social behaviors in mice and rescues autistic-like behaviors due to Scn2a haploinsufficiency","Indumathy J, Pruitt A, Gautier NM, Crane K, Glasscock E.","Brain Behav. 2021 Apr;11(4):e02041. doi: 10.1002/brb3.2041. Epub 2021 Jan 23.","Indumathy J","Brain Behav","2021","2021/01/23","PMC8035482","","10.1002/brb3.2041"
"31249508","Scn2a Haploinsufficiency in Mice Suppresses Hippocampal Neuronal Excitability, Excitatory Synaptic Drive, and Long-Term Potentiation, and Spatial Learning and Memory","Shin W, Kweon H, Kang R, Kim D, Kim K, Kang M, Kim SY, Hwang SN, Kim JY, Yang E, Kim H, Kim E.","Front Mol Neurosci. 2019 Jun 4;12:145. doi: 10.3389/fnmol.2019.00145. eCollection 2019.","Shin W","Front Mol Neurosci","2019","2019/06/29","PMC6582764","","10.3389/fnmol.2019.00145"
"28831199","Targeted sequencing and functional analysis reveal brain-size-related genes and their networks in autism spectrum disorders","Li J, Wang L, Guo H, Shi L, Zhang K, Tang M, Hu S, Dong S, Liu Y, Wang T, Yu P, He X, Hu Z, Zhao J, Liu C, Sun ZS, Xia K.","Mol Psychiatry. 2017 Sep;22(9):1282-1290. doi: 10.1038/mp.2017.140. Epub 2017 Jul 25.","Li J","Mol Psychiatry","2017","2017/08/24","","","10.1038/mp.2017.140"
"29996185","[Phenotype study of SCN2A gene related epilepsy]","Zeng Q, Zhang YH, Yang XL, Zhang J, Liu AJ, Liu XY, Jiang YW, Wu XR.","Zhonghua Er Ke Za Zhi. 2018 Jul 2;56(7):518-523. doi: 10.3760/cma.j.issn.0578-1310.2018.07.009.","Zeng Q","Zhonghua Er Ke Za Zhi","2018","2018/07/12","","","10.3760/cma.j.issn.0578-1310.2018.07.009"
"31038196","Whole genome sequencing and variant discovery in the ASPIRE autism spectrum disorder cohort","Callaghan DB, Rogic S, Tan PPC, Calli K, Qiao Y, Baldwin R, Jacobson M, Belmadani M, Holmes N, Yu C, Li Y, Li Y, Kurtzke FE, Kuzeljevic B, Yu AY, Hudson M, Mcaughton AJM, Xu Y, Dionne-Laporte A, Girard S, Liang P, Separovic ER, Liu X, Rouleau G, Pavlidis P, Lewis MES.","Clin Genet. 2019 Sep;96(3):199-206. doi: 10.1111/cge.13556. Epub 2019 May 30.","Callaghan DB","Clin Genet","2019","2019/05/01","","","10.1111/cge.13556"
"28867142","Exonic Mosaic Mutations Contribute Risk for Autism Spectrum Disorder","Krupp DR, Barnard RA, Duffourd Y, Evans SA, Mulqueen RM, Bernier R, Rivière JB, Fombonne E, O'Roak BJ.","Am J Hum Genet. 2017 Sep 7;101(3):369-390. doi: 10.1016/j.ajhg.2017.07.016. Epub 2017 Aug 31.","Krupp DR","Am J Hum Genet","2017","2017/09/05","PMC5590950","","10.1016/j.ajhg.2017.07.016"
"30175250","Nav1.2 haplodeficiency in excitatory neurons causes absence-like seizures in mice","Ogiwara I, Miyamoto H, Tatsukawa T, Yamagata T, Nakayama T, Atapour N, Miura E, Mazaki E, Ernst SJ, Cao D, Ohtani H, Itohara S, Yanagawa Y, Montal M, Yuzaki M, Inoue Y, Hensch TK, Noebels JL, Yamakawa K.","Commun Biol. 2018;1:96. doi: 10.1038/s42003-018-0099-2. Epub 2018 Jul 19.","Ogiwara I","Commun Biol","2018","2018/09/04","PMC6115194","NIHMS984331","10.1038/s42003-018-0099-2"
"30962870","Scn2a haploinsufficient mice display a spectrum of phenotypes affecting anxiety, sociability, memory flexibility and ampakine CX516 rescues their hyperactivity","Tatsukawa T, Raveau M, Ogiwara I, Hattori S, Miyamoto H, Mazaki E, Itohara S, Miyakawa T, Montal M, Yamakawa K.","Mol Autism. 2019 Mar 28;10:15. doi: 10.1186/s13229-019-0265-5. eCollection 2019.","Tatsukawa T","Mol Autism","2019","2019/04/10","PMC6437867","","10.1186/s13229-019-0265-5"
"26555645","Mutation screening of SCN2A in schizophrenia and identification of a novel loss-of-function mutation","Carroll LS, Woolf R, Ibrahim Y, Williams HJ, Dwyer S, Walters J, Kirov G, O'Donovan MC, Owen MJ.","Psychiatr Genet. 2016 Apr;26(2):60-5. doi: 10.1097/YPG.0000000000000110.","Carroll LS","Psychiatr Genet","2016","2015/11/12","PMC4756433","EMS65242","10.1097/YPG.0000000000000110"
"26637798","Targeted DNA Sequencing from Autism Spectrum Disorder Brains Implicates Multiple Genetic Mechanisms","D'Gama AM, Pochareddy S, Li M, Jamuar SS, Reiff RE, Lam AN, Sestan N, Walsh CA.","Neuron. 2015 Dec 2;88(5):910-917. doi: 10.1016/j.neuron.2015.11.009.","D'Gama AM","Neuron","2015","2015/12/06","PMC4672379","NIHMS737967","10.1016/j.neuron.2015.11.009"
"31171384","Genomic backgrounds of Japanese patients with undiagnosed neurodevelopmental disorders","Yamamoto T, Imaizumi T, Yamamoto-Shimojima K, Lu Y, Yanagishita T, Shimada S, Chong PF, Kira R, Ueda R, Ishiyama A, Takeshita E, Momosaki K, Ozasa S, Akiyama T, Kobayashi K, Oomatsu H, Kitahara H, Yamaguchi T, Imai K, Kurahashi H, Okumura A, Oguni H, Seto T, Okamoto N.","Brain Dev. 2019 Oct;41(9):776-782. doi: 10.1016/j.braindev.2019.05.007. Epub 2019 Jun 4.","Yamamoto T","Brain Dev","2019","2019/06/08","","","10.1016/j.braindev.2019.05.007"
"29929112","Deletions of SCN2A and SCN3A genes in a patient with West syndrome and autistic spectrum disorder","Chong PF, Saitsu H, Sakai Y, Imagi T, Nakamura R, Matsukura M, Matsumoto N, Kira R.","Seizure. 2018 Aug;60:91-93. doi: 10.1016/j.seizure.2018.06.012. Epub 2018 Jun 13.","Chong PF","Seizure","2018","2018/06/22","","","10.1016/j.seizure.2018.06.012"
"32929885","Distinct genetic patterns of shared and unique genes across four neurodevelopmental disorders","Zhang Y, Wang R, Liu Z, Jiang S, Du L, Qiu K, Li F, Wang Q, Jin J, Chen X, Li Z, Wu J, Zhang N.","Am J Med Genet B Neuropsychiatr Genet. 2021 Jan;186(1):3-15. doi: 10.1002/ajmg.b.32821. Epub 2020 Sep 15.","Zhang Y","Am J Med Genet B Neuropsychiatr Genet","2021","2020/09/15","","","10.1002/ajmg.b.32821"
"33394222","Properties of Calmodulin Binding to Na(V)1.2 IQ Motif and Its Autism-Associated Mutation R1902C","Jia W, Liu J, Yu Z, Zhang X, Xu X, Wang Y, Gao Q, Feng R, Wan Y, Xu J, Minobe E, Kameyama M, Wang W, Guo F.","Neurochem Res. 2021 Mar;46(3):523-534. doi: 10.1007/s11064-020-03189-7. Epub 2021 Jan 4.","Jia W","Neurochem Res","2021","2021/01/04","","","10.1007/s11064-020-03189-7"
"24618187","Recent challenges to the psychiatric diagnostic nosology: a focus on the genetics and genomics of neurodevelopmental disorders","Kim YS, State MW.","Int J Epidemiol. 2014 Apr;43(2):465-75. doi: 10.1093/ije/dyu037. Epub 2014 Mar 11.","Kim YS","Int J Epidemiol","2014","2014/03/13","PMC4047292","","10.1093/ije/dyu037"
"25969726","Integrated analysis of whole-exome sequencing and transcriptome profiling in males with autism spectrum disorders","Codina-Solà M, Rodríguez-Santiago B, Homs A, Santoyo J, Rigau M, Aznar-Laín G, Del Campo M, Gener B, Gabau E, Botella MP, Gutiérrez-Arumí A, Antiñolo G, Pérez-Jurado LA, Cuscó I.","Mol Autism. 2015 Apr 15;6:21. doi: 10.1186/s13229-015-0017-0. eCollection 2015.","Codina-Solà M","Mol Autism","2015","2015/05/14","PMC4427998","","10.1186/s13229-015-0017-0"
"30813884","Further corroboration of distinct functional features in SCN2A variants causing intellectual disability or epileptic phenotypes","Begemann A, Acuña MA, Zweier M, Vincent M, Steindl K, Bachmann-Gagescu R, Hackenberg A, Abela L, Plecko B, Kroell-Seger J, Baumer A, Yamakawa K, Inoue Y, Asadollahi R, Sticht H, Zeilhofer HU, Rauch A.","Mol Med. 2019 Feb 27;25(1):6. doi: 10.1186/s10020-019-0073-6.","Begemann A","Mol Med","2019","2019/03/01","PMC6391808","","10.1186/s10020-019-0073-6"
"24650168","De novo SCN2A splice site mutation in a boy with Autism spectrum disorder","Tavassoli T, Kolevzon A, Wang AT, Curchack-Lichtin J, Halpern D, Schwartz L, Soffes S, Bush L, Grodberg D, Cai G, Buxbaum JD.","BMC Med Genet. 2014 Mar 20;15:35. doi: 10.1186/1471-2350-15-35.","Tavassoli T","BMC Med Genet","2014","2014/03/22","PMC3994485","","10.1186/1471-2350-15-35"
"34411509","A convergent molecular network underlying autism and congenital heart disease","Rosenthal SB, Willsey HR, Xu Y, Mei Y, Dea J, Wang S, Curtis C, Sempou E, Khokha MK, Chi NC, Willsey AJ, Fisch KM, Ideker T.","Cell Syst. 2021 Aug 13:S2405-4712(21)00287-8. doi: 10.1016/j.cels.2021.07.009. Online ahead of print.","Rosenthal SB","Cell Syst","2021","2021/08/19","","","10.1016/j.cels.2021.07.009"
"32893078","Dominant SCN2A mutation with variable phenotype in two generations","Passi GR, Mohammad SS.","Brain Dev. 2021 Jan;43(1):166-169. doi: 10.1016/j.braindev.2020.08.009. Epub 2020 Sep 4.","Passi GR","Brain Dev","2021","2020/09/07","","","10.1016/j.braindev.2020.08.009"
"34093402","Differential Functional Changes of Nav1.2 Channel Causing SCN2A-Related Epilepsy and Status Epilepticus During Slow Sleep","Miao P, Tang S, Ye J, Tang J, Wang J, Zheng C, Li Y, Feng J.","Front Neurol. 2021 May 19;12:653517. doi: 10.3389/fneur.2021.653517. eCollection 2021.","Miao P","Front Neurol","2021","2021/06/07","PMC8170409","","10.3389/fneur.2021.653517"
"28993242","A distinct microRNA expression profile is associated with α[(11)C]-methyl-L-tryptophan (AMT) PET uptake in epileptogenic cortical tubers resected from patients with tuberous sclerosis complex","Bagla S, Cukovic D, Asano E, Sood S, Luat A, Chugani HT, Chugani DC, Dombkowski AA.","Neurobiol Dis. 2018 Jan;109(Pt A):76-87. doi: 10.1016/j.nbd.2017.10.004. Epub 2017 Oct 7.","Bagla S","Neurobiol Dis","2018","2017/10/11","PMC6070303","NIHMS913147","10.1016/j.nbd.2017.10.004"
"34729751","[Autism spectrum disorder/development delay in siblings with SCN2A mutations caused by germline mosaicism]","Zhang P, Gao Z, Jia J, Chen Q.","Zhonghua Yi Xue Yi Chuan Xue Za Zhi. 2021 Nov 10;38(11):1097-1100. doi: 10.3760/cma.j.cn511374-20200522-00371.","Zhang P","Zhonghua Yi Xue Yi Chuan Xue Za Zhi","2021","2021/11/03","","","10.3760/cma.j.cn511374-20200522-00371"
"24579881","Exome sequencing identifies a de novo SCN2A mutation in a patient with intractable seizures, severe intellectual disability, optic atrophy, muscular hypotonia, and brain abnormalities","Baasch AL, Hüning I, Gilissen C, Klepper J, Veltman JA, Gillessen-Kaesbach G, Hoischen A, Lohmann K.","Epilepsia. 2014 Apr;55(4):e25-9. doi: 10.1111/epi.12554. Epub 2014 Mar 1.","Baasch AL","Epilepsia","2014","2014/03/04","","","10.1111/epi.12554"
"28784306","Nav1.2 is expressed in caudal ganglionic eminence-derived disinhibitory interneurons: Mutually exclusive distributions of Nav1.1 and Nav1.2","Yamagata T, Ogiwara I, Mazaki E, Yanagawa Y, Yamakawa K.","Biochem Biophys Res Commun. 2017 Sep 30;491(4):1070-1076. doi: 10.1016/j.bbrc.2017.08.013. Epub 2017 Aug 4.","Yamagata T","Biochem Biophys Res Commun","2017","2017/08/09","","","10.1016/j.bbrc.2017.08.013"
