PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21068835","Dysfunction in GABA signalling mediates autism-like stereotypies and Rett syndrome phenotypes","Chao HT, Chen H, Samaco RC, Xue M, Chahrour M, Yoo J, Neul JL, Gong S, Lu HC, Heintz N, Ekker M, Rubenstein JL, Noebels JL, Rosenmund C, Zoghbi HY.","Nature. 2010 Nov 11;468(7321):263-9. doi: 10.1038/nature09582.","Chao HT","Nature","2010","2010/11/12","PMC3057962","NIHMS245935","10.1038/nature09582"
"32469098","Phenotypic and genetic spectrum of epilepsy with myoclonic atonic seizures","Tang S, Addis L, Smith A, Topp SD, Pendziwiat M, Mei D, Parker A, Agrawal S, Hughes E, Lascelles K, Williams RE, Fallon P, Robinson R, Cross HJ, Hedderly T, Eltze C, Kerr T, Desurkar A, Hussain N, Kinali M, Bagnasco I, Vassallo G, Whitehouse W, Goyal S, Absoud M; EuroEPINOMICS-RES Consortium, Møller RS, Helbig I, Weber YG, Marini C, Guerrini R, Simpson MA, Pal DK.","Epilepsia. 2020 May;61(5):995-1007. doi: 10.1111/epi.16508. Epub 2020 May 29.","Tang S","Epilepsia","2020","2020/05/30","","","10.1111/epi.16508"
"27293187","Peripheral Mechanosensory Neuron Dysfunction Underlies Tactile and Behavioral Deficits in Mouse Models of ASDs","Orefice LL, Zimmerman AL, Chirila AM, Sleboda SJ, Head JP, Ginty DD.","Cell. 2016 Jul 14;166(2):299-313. doi: 10.1016/j.cell.2016.05.033. Epub 2016 Jun 9.","Orefice LL","Cell","2016","2016/06/14","PMC5567792","NIHMS787195","10.1016/j.cell.2016.05.033"
"30636904","Striatal Inhibition of MeCP2 or TSC1 Produces Sociability Deficits and Repetitive Behaviors","Lee Y, Kim H, Han PL.","Exp Neurobiol. 2018 Dec;27(6):539-549. doi: 10.5607/en.2018.27.6.539. Epub 2018 Dec 28.","Lee Y","Exp Neurobiol","2018","2019/01/15","PMC6318563","","10.5607/en.2018.27.6.539"
"26843422","Reciprocal regulation of autism-related genes MeCP2 and PTEN via microRNAs","Lyu JW, Yuan B, Cheng TL, Qiu ZL, Zhou WH.","Sci Rep. 2016 Feb 4;6:20392. doi: 10.1038/srep20392.","Lyu JW","Sci Rep","2016","2016/02/05","PMC4740767","","10.1038/srep20392"
"32015540","A myelin-related transcriptomic profile is shared by Pitt-Hopkins syndrome models and human autism spectrum disorder","Phan BN, Bohlen JF, Davis BA, Ye Z, Chen HY, Mayfield B, Sripathy SR, Cerceo Page S, Campbell MN, Smith HL, Gallop D, Kim H, Thaxton CL, Simon JM, Burke EE, Shin JH, Kennedy AJ, Sweatt JD, Philpot BD, Jaffe AE, Maher BJ.","Nat Neurosci. 2020 Mar;23(3):375-385. doi: 10.1038/s41593-019-0578-x. Epub 2020 Feb 3.","Phan BN","Nat Neurosci","2020","2020/02/05","PMC7065955","NIHMS1546836","10.1038/s41593-019-0578-x"
"26239053","[Molecular basis of Rett syndrome: A current look]","Pantaleón F G, Juvier R T.","Rev Chil Pediatr. 2015 May-Jun;86(3):142-51. doi: 10.1016/j.rchipe.2015.07.001. Epub 2015 Aug 1.","Pantaleón F G","Rev Chil Pediatr","2015","2015/08/05","","","10.1016/j.rchipe.2015.07.001"
"28785396","Identification of autism-related MECP2 mutations by whole-exome sequencing and functional validation","Wen Z, Cheng TL, Li GZ, Sun SB, Yu SY, Zhang Y, Du YS, Qiu Z.","Mol Autism. 2017 Aug 3;8:43. doi: 10.1186/s13229-017-0157-5. eCollection 2017.","Wen Z","Mol Autism","2017","2017/08/09","PMC5543534","","10.1186/s13229-017-0157-5"
"31185809","Understanding intellectual disability and autism spectrum disorders from common mouse models: synapses to behaviour","Verma V, Paul A, Amrapali Vishwanath A, Vaidya B, Clement JP.","Open Biol. 2019 Jun 28;9(6):180265. doi: 10.1098/rsob.180265. Epub 2019 Jun 12.","Verma V","Open Biol","2019","2019/06/13","PMC6597757","","10.1098/rsob.180265"
"17289941","Reversal of neurological defects in a mouse model of Rett syndrome","Guy J, Gan J, Selfridge J, Cobb S, Bird A.","Science. 2007 Feb 23;315(5815):1143-7. doi: 10.1126/science.1138389. Epub 2007 Feb 8.","Guy J","Science","2007","2007/02/10","PMC7610836","EMS124480","10.1126/science.1138389"
"32114799","Clinical and Genetic Profile of Autism Spectrum Disorder-Epilepsy (ASD-E) Phenotype: Two Sides of the Same Coin!","Karunakaran S, Menon RN, Nair SS, Santhakumar S, Nair M, Sundaram S.","Clin EEG Neurosci. 2020 Nov;51(6):390-398. doi: 10.1177/1550059420909673. Epub 2020 Mar 2.","Karunakaran S","Clin EEG Neurosci","2020","2020/03/03","","","10.1177/1550059420909673"
"33429932","Role of DNA Methyl-CpG-Binding Protein MeCP2 in Rett Syndrome Pathobiology and Mechanism of Disease","Pejhan S, Rastegar M.","Biomolecules. 2021 Jan 8;11(1):75. doi: 10.3390/biom11010075.","Pejhan S","Biomolecules","2021","2021/01/12","PMC7827577","","10.3390/biom11010075"
"26605526","Reversal of phenotypes in MECP2 duplication mice using genetic rescue or antisense oligonucleotides","Sztainberg Y, Chen HM, Swann JW, Hao S, Tang B, Wu Z, Tang J, Wan YW, Liu Z, Rigo F, Zoghbi HY.","Nature. 2015 Dec 3;528(7580):123-6. doi: 10.1038/nature16159. Epub 2015 Nov 25.","Sztainberg Y","Nature","2015","2015/11/26","PMC4839300","NIHMS731889","10.1038/nature16159"
"28439102","MeCP2-regulated miRNAs control early human neurogenesis through differential effects on ERK and AKT signaling","Mellios N, Feldman DA, Sheridan SD, Ip JPK, Kwok S, Amoah SK, Rosen B, Rodriguez BA, Crawford B, Swaminathan R, Chou S, Li Y, Ziats M, Ernst C, Jaenisch R, Haggarty SJ, Sur M.","Mol Psychiatry. 2018 Apr;23(4):1051-1065. doi: 10.1038/mp.2017.86. Epub 2017 Apr 25.","Mellios N","Mol Psychiatry","2018","2017/04/26","PMC5815944","NIHMS856832","10.1038/mp.2017.86"
"23226951","The relationship of Rett syndrome and MECP2 disorders to autism","Neul JL.","Dialogues Clin Neurosci. 2012 Sep;14(3):253-62. doi: 10.31887/DCNS.2012.14.3/jneul.","Neul JL","Dialogues Clin Neurosci","2012","2012/12/11","PMC3513680","","10.31887/DCNS.2012.14.3/jneul"
"20473347","Evolving role of MeCP2 in Rett syndrome and autism","LaSalle JM, Yasui DH.","Epigenomics. 2009 Oct;1(1):119-30. doi: 10.2217/epi.09.13.","LaSalle JM","Epigenomics","2009","2010/05/18","PMC2867478","NIHMS171918","10.2217/epi.09.13"
"22406388","Oxytocin receptor and Mecp2 308/Y knockout mice exhibit altered expression of autism-related social behaviors","Pobbe RL, Pearson BL, Blanchard DC, Blanchard RJ.","Physiol Behav. 2012 Dec 5;107(5):641-8. doi: 10.1016/j.physbeh.2012.02.024. Epub 2012 Mar 3.","Pobbe RL","Physiol Behav","2012","2012/03/13","PMC3382034","NIHMS360875","10.1016/j.physbeh.2012.02.024"
"32269107","MECP2 Duplication Causes Aberrant GABA Pathways, Circuits and Behaviors in Transgenic Monkeys: Neural Mappings to Patients with Autism","Cai DC, Wang Z, Bo T, Yan S, Liu Y, Liu Z, Zeljic K, Chen X, Zhan Y, Xu X, Du Y, Wang Y, Cang J, Wang GZ, Zhang J, Sun Q, Qiu Z, Ge S, Ye Z, Wang Z.","J Neurosci. 2020 May 6;40(19):3799-3814. doi: 10.1523/JNEUROSCI.2727-19.2020. Epub 2020 Apr 8.","Cai DC","J Neurosci","2020","2020/04/10","PMC7204082","","10.1523/JNEUROSCI.2727-19.2020"
"25167861","Efficient strategy for the molecular diagnosis of intellectual disability using targeted high-throughput sequencing","Redin C, Gérard B, Lauer J, Herenger Y, Muller J, Quartier A, Masurel-Paulet A, Willems M, Lesca G, El-Chehadeh S, Le Gras S, Vicaire S, Philipps M, Dumas M, Geoffroy V, Feger C, Haumesser N, Alembik Y, Barth M, Bonneau D, Colin E, Dollfus H, Doray B, Delrue MA, Drouin-Garraud V, Flori E, Fradin M, Francannet C, Goldenberg A, Lumbroso S, Mathieu-Dramard M, Martin-Coignard D, Lacombe D, Morin G, Polge A, Sukno S, Thauvin-Robinet C, Thevenon J, Doco-Fenzy M, Genevieve D, Sarda P, Edery P, Isidor B, Jost B, Olivier-Faivre L, Mandel JL, Piton A.","J Med Genet. 2014 Nov;51(11):724-36. doi: 10.1136/jmedgenet-2014-102554. Epub 2014 Aug 28.","Redin C","J Med Genet","2014","2014/08/30","PMC4215287","","10.1136/jmedgenet-2014-102554"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"27916441","Autism-related protein MeCP2 regulates FGF13 expression and emotional behaviors","Yuan B, Cheng TL, Yang K, Zhang X, Qiu Z.","J Genet Genomics. 2017 Jan 20;44(1):63-66. doi: 10.1016/j.jgg.2016.10.004. Epub 2016 Oct 19.","Yuan B","J Genet Genomics","2017","2016/12/06","","","10.1016/j.jgg.2016.10.004"
"24448211","Increased binding of MeCP2 to the GAD1 and RELN promoters may be mediated by an enrichment of 5-hmC in autism spectrum disorder (ASD) cerebellum","Zhubi A, Chen Y, Dong E, Cook EH, Guidotti A, Grayson DR.","Transl Psychiatry. 2014 Jan 21;4(1):e349. doi: 10.1038/tp.2013.123.","Zhubi A","Transl Psychiatry","2014","2014/01/23","PMC3905233","","10.1038/tp.2013.123"
"20035514","Autism and other neuropsychiatric symptoms are prevalent in individuals with MeCP2 duplication syndrome","Ramocki MB, Peters SU, Tavyev YJ, Zhang F, Carvalho CM, Schaaf CP, Richman R, Fang P, Glaze DG, Lupski JR, Zoghbi HY.","Ann Neurol. 2009 Dec;66(6):771-82. doi: 10.1002/ana.21715.","Ramocki MB","Ann Neurol","2009","2009/12/26","PMC2801873","NIHMS115260","10.1002/ana.21715"
"24151554","Epigenetics and autism","Mbadiwe T, Millis RM.","Autism Res Treat. 2013;2013:826156. doi: 10.1155/2013/826156. Epub 2013 Sep 15.","Mbadiwe T","Autism Res Treat","2013","2013/10/24","PMC3787640","","10.1155/2013/826156"
"31112129","Ventral hippocampal projections to the medial prefrontal cortex regulate social memory","Phillips ML, Robinson HA, Pozzo-Miller L.","Elife. 2019 May 21;8:e44182. doi: 10.7554/eLife.44182.","Phillips ML","Elife","2019","2019/05/22","PMC6542587","","10.7554/eLife.44182"
"31344460","Neuropsychiatric ""Comorbidity"" as Causal Influence in Autism","Hawks ZW, Constantino JN.","J Am Acad Child Adolesc Psychiatry. 2020 Feb;59(2):229-235. doi: 10.1016/j.jaac.2019.07.008. Epub 2019 Jul 22.","Hawks ZW","J Am Acad Child Adolesc Psychiatry","2020","2019/07/26","","","10.1016/j.jaac.2019.07.008"
"19132145","MECP2 promoter methylation and X chromosome inactivation in autism","Nagarajan RP, Patzel KA, Martin M, Yasui DH, Swanberg SE, Hertz-Picciotto I, Hansen RL, Van de Water J, Pessah IN, Jiang R, Robinson WP, LaSalle JM.","Autism Res. 2008 Jun;1(3):169-78. doi: 10.1002/aur.24.","Nagarajan RP","Autism Res","2008","2009/01/10","PMC2614877","NIHMS69304","10.1002/aur.24"
"10508514","Rett syndrome is caused by mutations in X-linked MECP2, encoding methyl-CpG-binding protein 2","Amir RE, Van den Veyver IB, Wan M, Tran CQ, Francke U, Zoghbi HY.","Nat Genet. 1999 Oct;23(2):185-8. doi: 10.1038/13810.","Amir RE","Nat Genet","1999","1999/10/03","","","10.1038/13810"
"29984470","Imaging genetics in neurodevelopmental psychopathology","Klein M, van Donkelaar M, Verhoef E, Franke B.","Am J Med Genet B Neuropsychiatr Genet. 2017 Jul;174(5):485-537. doi: 10.1002/ajmg.b.32542.","Klein M","Am J Med Genet B Neuropsychiatr Genet","2017","2018/07/10","PMC7170264","NIHMS860716","10.1002/ajmg.b.32542"
"17562589","Rett syndrome","Ben Zeev Ghidoni B.","Child Adolesc Psychiatr Clin N Am. 2007 Jul;16(3):723-43. doi: 10.1016/j.chc.2007.03.004.","Ben Zeev Ghidoni B","Child Adolesc Psychiatr Clin N Am","2007","2007/06/15","","","10.1016/j.chc.2007.03.004"
"19000991","Reciprocal co-regulation of EGR2 and MECP2 is disrupted in Rett syndrome and autism","Swanberg SE, Nagarajan RP, Peddada S, Yasui DH, LaSalle JM.","Hum Mol Genet. 2009 Feb 1;18(3):525-34. doi: 10.1093/hmg/ddn380. Epub 2008 Nov 10.","Swanberg SE","Hum Mol Genet","2009","2008/11/13","PMC2638799","","10.1093/hmg/ddn380"
"32034290","Nuclear receptor corepressors in intellectual disability and autism","Kong Y, Zhou W, Sun Z.","Mol Psychiatry. 2020 Oct;25(10):2220-2236. doi: 10.1038/s41380-020-0667-y. Epub 2020 Feb 7.","Kong Y","Mol Psychiatry","2020","2020/02/09","PMC7842082","NIHMS1553359","10.1038/s41380-020-0667-y"
"17486179","Reduced MeCP2 expression is frequent in autism frontal cortex and correlates with aberrant MECP2 promoter methylation","Nagarajan RP, Hogart AR, Gwye Y, Martin MR, LaSalle JM.","Epigenetics. 2006 Oct-Dec;1(4):e1-11. doi: 10.4161/epi.1.4.3514.","Nagarajan RP","Epigenetics","2006","2007/05/09","PMC1866172","NIHMS15113","10.4161/epi.1.4.3514"
"31273722","MeCP2 Dysfunction in Rett Syndrome and Neuropsychiatric Disorders","Chin EWM, Goh ELK.","Methods Mol Biol. 2019;2011:573-591. doi: 10.1007/978-1-4939-9554-7_33.","Chin EWM","Methods Mol Biol","2019","2019/07/06","","","10.1007/978-1-4939-9554-7_33"
"15211631","MECP2 structural and 3'-UTR variants in schizophrenia, autism and other psychiatric diseases: a possible association with autism","Shibayama A, Cook EH Jr, Feng J, Glanzmann C, Yan J, Craddock N, Jones IR, Goldman D, Heston LL, Sommer SS.","Am J Med Genet B Neuropsychiatr Genet. 2004 Jul 1;128B(1):50-3. doi: 10.1002/ajmg.b.30016.","Shibayama A","Am J Med Genet B Neuropsychiatr Genet","2004","2004/06/24","","","10.1002/ajmg.b.30016"
"33168618","Excessive Formation and Stabilization of Dendritic Spine Clusters in the MECP2-Duplication Syndrome Mouse Model of Autism","Ash RT, Park J, Suter B, Zoghbi HY, Smirnakis SM.","eNeuro. 2021 Jan 29;8(1):ENEURO.0282-20.2020. doi: 10.1523/ENEURO.0282-20.2020. Print 2021 Jan-Feb.","Ash RT","eNeuro","2021","2020/11/10","PMC7877475","","10.1523/ENEURO.0282-20.2020"
"28961504","Deciphering MECP2-associated disorders: disrupted circuits and the hope for repair","Qiu Z.","Curr Opin Neurobiol. 2018 Feb;48:30-36. doi: 10.1016/j.conb.2017.09.004. Epub 2017 Sep 27.","Qiu Z","Curr Opin Neurobiol","2018","2017/09/30","","","10.1016/j.conb.2017.09.004"
"20425814","The MECP2 duplication syndrome","Ramocki MB, Tavyev YJ, Peters SU.","Am J Med Genet A. 2010 May;152A(5):1079-88. doi: 10.1002/ajmg.a.33184.","Ramocki MB","Am J Med Genet A","2010","2010/04/29","PMC2861792","NIHMS158965","10.1002/ajmg.a.33184"
"28497075","Development of a Novel AAV Gene Therapy Cassette with Improved Safety Features and Efficacy in a Mouse Model of Rett Syndrome","Gadalla KKE, Vudhironarit T, Hector RD, Sinnett S, Bahey NG, Bailey MES, Gray SJ, Cobb SR.","Mol Ther Methods Clin Dev. 2017 Apr 22;5:180-190. doi: 10.1016/j.omtm.2017.04.007. eCollection 2017 Jun 16.","Gadalla KKE","Mol Ther Methods Clin Dev","2017","2017/05/13","PMC5423329","","10.1016/j.omtm.2017.04.007"
"15791137","Rett syndrome","Segawa M, Nomura Y.","Curr Opin Neurol. 2005 Apr;18(2):97-104. doi: 10.1097/01.wco.0000162848.99154.9a.","Segawa M","Curr Opin Neurol","2005","2005/03/26","","","10.1097/01.wco.0000162848.99154.9a"
"24150225","Transcriptional regulation of the MET receptor tyrosine kinase gene by MeCP2 and sex-specific expression in autism and Rett syndrome","Plummer JT, Evgrafov OV, Bergman MY, Friez M, Haiman CA, Levitt P, Aldinger KA.","Transl Psychiatry. 2013 Oct 22;3(10):e316. doi: 10.1038/tp.2013.91.","Plummer JT","Transl Psychiatry","2013","2013/10/24","PMC3818007","","10.1038/tp.2013.91"
"28229923","Epigenetic regulation of RELN and GAD1 in the frontal cortex (FC) of autism spectrum disorder (ASD) subjects","Zhubi A, Chen Y, Guidotti A, Grayson DR.","Int J Dev Neurosci. 2017 Nov;62:63-72. doi: 10.1016/j.ijdevneu.2017.02.003. Epub 2017 Feb 14.","Zhubi A","Int J Dev Neurosci","2017","2017/02/24","PMC5575980","NIHMS857934","10.1016/j.ijdevneu.2017.02.003"
"31059729","Genetic mechanisms of regression in autism spectrum disorder","Tammimies K.","Neurosci Biobehav Rev. 2019 Jul;102:208-220. doi: 10.1016/j.neubiorev.2019.04.022. Epub 2019 May 3.","Tammimies K","Neurosci Biobehav Rev","2019","2019/05/07","","","10.1016/j.neubiorev.2019.04.022"
"23055267","The expanding role of MBD genes in autism: identification of a MECP2 duplication and novel alterations in MBD5, MBD6, and SETDB1","Cukier HN, Lee JM, Ma D, Young JI, Mayo V, Butler BL, Ramsook SS, Rantus JA, Abrams AJ, Whitehead PL, Wright HH, Abramson RK, Haines JL, Cuccaro ML, Pericak-Vance MA, Gilbert JR.","Autism Res. 2012 Dec;5(6):385-97. doi: 10.1002/aur.1251. Epub 2012 Oct 10.","Cukier HN","Autism Res","2012","2012/10/12","PMC3528798","NIHMS401651","10.1002/aur.1251"
"19774457","Understanding and determining the etiology of autism","Currenti SA.","Cell Mol Neurobiol. 2010 Mar;30(2):161-71. doi: 10.1007/s10571-009-9453-8. Epub 2009 Sep 23.","Currenti SA","Cell Mol Neurobiol","2010","2009/09/24","","","10.1007/s10571-009-9453-8"
"23622180","X-linked mental deficiency","des Portes V.","Handb Clin Neurol. 2013;111:297-306. doi: 10.1016/B978-0-444-52891-9.00035-X.","des Portes V","Handb Clin Neurol","2013","2013/04/30","","","10.1016/B978-0-444-52891-9.00035-X"
"15615769","Epigenetic overlap in autism-spectrum neurodevelopmental disorders: MECP2 deficiency causes reduced expression of UBE3A and GABRB3","Samaco RC, Hogart A, LaSalle JM.","Hum Mol Genet. 2005 Feb 15;14(4):483-92. doi: 10.1093/hmg/ddi045. Epub 2004 Dec 22.","Samaco RC","Hum Mol Genet","2005","2004/12/24","PMC1224722","NIHMS2532","10.1093/hmg/ddi045"
"20425298","The role of MeCP2 in brain development and neurodevelopmental disorders","Gonzales ML, LaSalle JM.","Curr Psychiatry Rep. 2010 Apr;12(2):127-34. doi: 10.1007/s11920-010-0097-7.","Gonzales ML","Curr Psychiatry Rep","2010","2010/04/29","PMC2847695","","10.1007/s11920-010-0097-7"
"32015323","Locus-specific DNA methylation of Mecp2 promoter leads to autism-like phenotypes in mice","Lu Z, Liu Z, Mao W, Wang X, Zheng X, Chen S, Cao B, Huang S, Zhang X, Zhou T, Zhang Y, Huang X, Sun Q, Li JD.","Cell Death Dis. 2020 Feb 3;11(2):85. doi: 10.1038/s41419-020-2290-x.","Lu Z","Cell Death Dis","2020","2020/02/05","PMC6997184","","10.1038/s41419-020-2290-x"
"20956852","The role of calcium-dependent gene expression in autism spectrum disorders: lessons from MeCP2, Ube3a and beyond","Qiu Z, Cheng J.","Neurosignals. 2010;18(2):72-81. doi: 10.1159/000320970. Epub 2010 Oct 19.","Qiu Z","Neurosignals","2010","2010/10/20","","","10.1159/000320970"
"18302128","[Autism, epilepsy and genetics]","Muñoz-Yunta JA, Palau-Baduell M, Salvadó-Salvadó B, Valls-Santasusana A, Rosendo-Moreno N, Clofent-Torrentó M, Manchado F.","Rev Neurol. 2008;46 Suppl 1:S71-7.","Muñoz-Yunta JA","Rev Neurol","2008","2008/03/21","","",""
"23468062","Epigenetic factors and autism spectrum disorders","Flashner BM, Russo ME, Boileau JE, Leong DW, Gallicano GI.","Neuromolecular Med. 2013 Jun;15(2):339-50. doi: 10.1007/s12017-013-8222-5. Epub 2013 Mar 7.","Flashner BM","Neuromolecular Med","2013","2013/03/08","","","10.1007/s12017-013-8222-5"
"22909152","A case report of Chinese brothers with inherited MECP2-containing duplication: autism and intellectual disability, but not seizures or respiratory infections","Xu X, Xu Q, Zhang Y, Zhang X, Cheng T, Wu B, Ding Y, Lu P, Zheng J, Zhang M, Qiu Z, Yu X.","BMC Med Genet. 2012 Aug 21;13:75. doi: 10.1186/1471-2350-13-75.","Xu X","BMC Med Genet","2012","2012/08/23","PMC3506511","","10.1186/1471-2350-13-75"
"15362175","Rett syndrome: of girls and mice--lessons for regression in autism","Glaze DG.","Ment Retard Dev Disabil Res Rev. 2004;10(2):154-8. doi: 10.1002/mrdd.20030.","Glaze DG","Ment Retard Dev Disabil Res Rev","2004","2004/09/14","","","10.1002/mrdd.20030"
"16225828","MeCP2 dysfunction in humans and mice","Zoghbi HY.","J Child Neurol. 2005 Sep;20(9):736-40. doi: 10.1177/08830738050200090701.","Zoghbi HY","J Child Neurol","2005","2005/10/18","","","10.1177/08830738050200090701"
"16647848","MeCP2 dysfunction in Rett syndrome and related disorders","Moretti P, Zoghbi HY.","Curr Opin Genet Dev. 2006 Jun;16(3):276-81. doi: 10.1016/j.gde.2006.04.009. Epub 2006 May 2.","Moretti P","Curr Opin Genet Dev","2006","2006/05/02","","","10.1016/j.gde.2006.04.009"
"28534217","Autism spectrum disorder-associated genes and the development of dentate granule cells","Ito H, Morishita R, Nagata KI.","Med Mol Morphol. 2017 Sep;50(3):123-129. doi: 10.1007/s00795-017-0161-z. Epub 2017 May 22.","Ito H","Med Mol Morphol","2017","2017/05/24","","","10.1007/s00795-017-0161-z"
"31139143","The Clinical and Genetic Features of Co-occurring Epilepsy and Autism Spectrum Disorder in Chinese Children","Long S, Zhou H, Li S, Wang T, Ma Y, Li C, Zhou Y, Zhou S, Wu B, Wang Y.","Front Neurol. 2019 May 14;10:505. doi: 10.3389/fneur.2019.00505. eCollection 2019.","Long S","Front Neurol","2019","2019/05/30","PMC6527735","","10.3389/fneur.2019.00505"
